DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-463724311,d=2,props={send reminder}|{cancel order},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-429362979,d=2,props={cancel order}|{cancel order},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-429362979,d=2,props={cancel order}|{cancel order},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-260087816,d=2,props={pay}|{cancel order},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-260087816,d=2,props={pay}|{cancel order},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1846001160,d=2,props={make delivery}|{cancel order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1846001160,d=2,props={make delivery}|{cancel order},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: DequeueNodeEvent((id=-2574387,d=1,props={}|{cancel order},state=PlaceState{presetChildrenMask={0, 1, 2, 3, 4, 5, 6}, postsetChildrenMask={}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1301909589,d=2,props={▷}|{make delivery},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1301909589,d=2,props={▷}|{make delivery},state=PlaceState{presetChildrenMask={1, 2, 3, 4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=1237943827,d=2,props={place order}|{make delivery},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=1237943827,d=2,props={place order}|{make delivery},state=PlaceState{presetChildrenMask={2, 3, 4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=1974876252,d=2,props={send invoice}|{make delivery},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
