"time","candidate","score"
"2022-08-10T16:05:18.249","(d=2, props={▷}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={place order}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={send invoice}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={send reminder}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={cancel order}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={pay}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={make delivery}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={▷}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={place order}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={send invoice}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.249","(d=2, props={send reminder}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={cancel order}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={pay}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={make delivery}|{send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={5, 6}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={▷}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={1, 2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={place order}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={send invoice}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={send reminder}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={cancel order}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={pay}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=2, props={make delivery}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","2.0"
"2022-08-10T16:05:18.265","(d=3, props={pay, make delivery}|{place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay}|{pay, cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay}|{pay, send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay}|{pay, send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay}|{pay, place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay, make delivery}|{pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay}|{send invoice, place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={pay, make delivery}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={▷}|{send invoice, place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={▷, place order}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={▷, send invoice}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={▷, send reminder}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={▷, cancel order}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={▷, pay}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={6}})","3.0"
